2Rs-8-25|Acazias é rei de Judá
2Rs-9-1|Jeú é ungido rei de Israel
2Rs-9-14|Jeú mata Jorão e Acazias
2Rs-9-30|A morte de Jezabel
2Rs-10-1|A morte da família de Acabe
2Rs-10-18|Jeú mata todos os sacerdotes de Baal, em Israel
2Rs-11-1|Atalia e Joás
2Rs-12-1|Joás repara o templo
2Rs-13-1|Jeoacaz é rei de Israel
2Rs-13-10|Jeoás é rei de Israel
2Rs-13-14|A morte de Eliseu
2Rs-14-1|Amazias é rei de Judá
2Rs-14-23|Jeroboão II é rei de Israel
2Rs-15-1|Azarias é rei de Judá
2Rs-15-8|Zacarias é rei de Israel
2Rs-15-13|Salum é rei de Israel
2Rs-15-16|Menaem é rei de Israel
2Rs-15-23|Pecaías é rei de Israel
2Rs-15-27|Peca é rei de Israel
2Rs-15-32|Jotão é rei de Judá
2Rs-16-1|Acaz é rei de Judá
2Rs-17-1|Oseias é o último rei de Israel
2Rs-17-7|Israel é exilado por causa de pecado
2Rs-17-24|Samaria é colonizada
2Rs-18-1|Ezequias é rei de Judá
2Rs-18-17|Senaqueribe ameaça Jerusalém
2Rs-19-1|Isaías prediz a retirada dos assírios
2Rs-19-14|A oração de Ezequias
2Rs-19-20|Isaías profetiza a queda de Senaqueribe
2Rs-20-1|A doença de Ezequias
2Rs-20-12|Os embaixadores da Babilónia
2Rs-21-1|Manassés é rei de Judá
2Rs-21-19|Amom é rei de Judá
2Rs-22-1|O livro da lei é encontrado
2Rs-23-1|Josias renova a aliança com o Senhor
2Rs-23-31|Jeoacaz é rei de Judá
2Rs-23-36|Joaquim é rei de Judá
2Rs-24-8|Jeconias é rei de Judá
2Rs-24-18|Zedequias é rei de Judá
2Rs-25-1|A queda de Jerusalém
2Rs-25-27|Jeconias é libertado
1Cr-1-1|De Adão a Abraão
1Cr-1-43|Os reis de Edom
1Cr-2-1|A descendência de Judá
1Cr-2-42|A descendência de Calebe
1Cr-3-1|A descendência de David
1Cr-4-1|Outros descendentes de Judá
1Cr-4-24|A descendência de Simeão
1Cr-5-1|A descendência de Rúben
1Cr-5-11|A descendência de Gad
1Cr-5-23|A meia-tribo de Manassés
1Cr-6-1|A descendência de Levi
1Cr-6-31|Os músicos do templo
1Cr-7-1|A descendência de Issacar
1Cr-7-6|A descendência de Benjamim
1Cr-7-13|A descendência de Naftali
1Cr-7-14|A descendência de Manassés
1Cr-7-20|A descendência de Efraim
1Cr-7-30|A descendência de Aser
1Cr-8-1|Os descendentes de Benjamim
1Cr-9-1|O povo de Jerusalém
1Cr-9-35|A genealogia de Saul
1Cr-10-1|Saul suicida-se
1Cr-11-1|David é feito rei sobre Israel
1Cr-11-3|David conquista Jerusalém
1Cr-11-10|Os homens poderosos de David
1Cr-12-1|O exército de David
1Cr-13-1|A mudança da arca
1Cr-14-1|O palácio e a família de David
1Cr-14-8|David derrota os filisteus
1Cr-15-1|A arca retorna a Jerusalém
1Cr-16-8|Salmo de David
1Cr-17-1|A promessa de Deus a David
1Cr-17-15|A oração de David
1Cr-18-1|Vitórias de David
1Cr-18-14|Os oficiais de David
1Cr-19-1|Guerra contra os amonitas
1Cr-20-1|A conquista de Rabá
1Cr-20-4|Guerra contra os filisteus
1Cr-21-1|David conta os homens de guerra
1Cr-22-1|Preparações para o templo
1Cr-23-1|Os levitas
1Cr-24-1|As divisões dos sacerdotes
1Cr-24-20|Os restantes levitas
1Cr-25-1|Os cantores
1Cr-26-1|Os porteiros
1Cr-26-20|Os tesoureiros e outros oficiais
1Cr-27-1|As divisões do exército
1Cr-27-16|Os oficiais das tribos
1Cr-27-25|Os administradores do rei
1Cr-28-1|Os planos para construção do templo
1Cr-29-1|As ofertas para a construção do templo
1Cr-29-10|David louva o Senhor
1Cr-29-21|Salomão reconhecido como rei
1Cr-29-26|A morte de David
2Cr-1-1|Salomão pede sabedoria
2Cr-2-1|Preparativos para a construção do templo
2Cr-3-1|Salomão constrói o templo
2Cr-4-1|O mobiliário do templo
2Cr-5-2|A arca é levada para o templo
2Cr-6-12|A oração de dedicação
2Cr-7-1|A consagração do templo
2Cr-7-11|O Senhor aparece a Salomão
2Cr-8-1|Salomão exerce as suas funções
2Cr-9-1|A visita da rainha de Sabá
2Cr-9-13|A magnificência de Salomão
2Cr-9-29|A morte de Salomão
2Cr-10-1|Israel rebela-se contra Reboão
2Cr-11-5|Reboão fortifica Judá
2Cr-11-18|A família de Reboão
2Cr-12-1|O rei do Egipto ataca Jerusalém
2Cr-13-1|Abião é rei de Judá
2Cr-14-1|Asa é rei de Judá
2Cr-15-1|O despertamento de Asa
2Cr-16-1|Os últimos anos de Asa
2Cr-17-1|Jeosafá é rei de Judá
2Cr-18-1|A profecia de Micaías contra Acabe
2Cr-18-28|Acabe morre em combate
2Cr-19-7|Jeosafá nomeia juízes
2Cr-20-1|Jeosafá derrota Moabe e Amom
2Cr-20-31|O fim do reino de Jeosafá
2Cr-21-1|Jeorão é rei de Judá
2Cr-22-1|Acazias é rei de Judá
2Cr-22-10|Atalia e Joás
2Cr-24-1|Joás repara o templo
2Cr-24-17|A maldade de Joás
2Cr-25-1|Amazias é rei de Judá
2Cr-26-1|Uzias é rei de Judá
2Cr-27-1|Jotão é rei de Judá
2Cr-28-1|Acaz é rei de Judá
2Cr-29-1|As reformas de Ezequias
2Cr-30-1|Restabelecimento do culto e da Páscoa
2Cr-31-2|Contribuições para o culto
2Cr-32-1|Senaqueribe ameaça Jerusalém
2Cr-32-23|O sucesso e a morte de Ezequias
2Cr-33-1|Manassés é rei de Judá
2Cr-33-24|Amom é rei de Judá
2Cr-34-1|As reformas de Josias
